date,new_accounts,anonymous_messages_percent,total_messages,topics_change_percent
2023-03-25,0,0,0,0
2023-03-26,0,0,0,0
2023-03-27,0,0,0,0
2023-03-28,0,0,0,0
2023-03-29,0,0,0,0
2023-03-30,0,0,0,0
2023-03-31,0,0,0,0
2023-04-01,0,0,0,0
2023-04-02,0,0,0,0
2023-04-03,0,0,0,0
2023-04-04,0,0,0,0
2023-04-05,0,0,0,0
2023-04-06,0,0,0,0
2023-04-07,0,0,0,0
2023-04-08,0,0,0,0
2023-04-09,0,0,0,0
2023-04-10,0,0,0,0
2023-04-11,0,0,0,0
2023-04-12,0,0,0,0
2023-04-13,0,0,0,0
2023-04-14,0,0,0,0
2023-04-15,0,0,0,0
2023-04-16,0,0,0,0
2023-04-17,0,0,0,0
2023-04-18,0,0,0,0
2023-04-19,0,0,0,0
2023-04-20,0,0,0,0
